unmatched,best_match,score,top3_context,accepted_mapping
WARENG,BARINGO,61.53846153846154,BARINGO (61); ABERDARE NATIONAL PARK (60); BARINGO CENTRAL (60),BARINGO
KIHARU,KIAMBU,66.66666666666667,KIAMBU (66); KISAUNI (61); MERU (60),KIAMBU
WUNDANYI,NYALI,67.5,NYALI (67); BUNA (67); NYERI (67),NYALI
ELDORET WEST,ELDAS,67.5,ELDAS (67); MARAKWET WEST (64); BOMET EAST (63),ELDAS
RUARAKA,THARAKA NORTH,71.25,THARAKA NORTH (71); THARAKA SOUTH (71); THARAKANITHI (64),THARAKA NORTH
GALOLE,KALOLENI,71.42857142857143,KALOLENI (71); SAMBURUKWALE (60); KWALE (54),KALOLENI
ELDORET EAST,BOMET EAST,72.72727272727273,BOMET EAST (72); ELDAS (67); MARAKWET EAST (64),BOMET EAST
BURA,BURETI,77.14285714285715,BURETI (77); BUNA (75); SAMBURUKWALE (67),BURETI
ROYSAMBU,EMBU,77.14285714285715,EMBU (77); SAMBURUKWALE (69); SAMBURU CENTRAL (69),EMBU
MBITA,MVITA,80.0,MVITA (80); MARSABIT (67); MARSABIT CENTRAL (64),MVITA
EMBAKASI SOUTH,EMBAKASI,90.0,EMBAKASI (90); EMBU (77); GEM (72),EMBAKASI
EMBAKASI WEST,EMBAKASI,90.0,EMBAKASI (90); EMBU (77); EMBU WEST (72),EMBAKASI
EMBAKASI EAST,EMBAKASI,90.0,EMBAKASI (90); EMBU (77); EMBU EAST (72),EMBAKASI
EMBAKASI NORTH,EMBAKASI,90.0,EMBAKASI (90); EMBU (77); EMBU NORTH (75),EMBAKASI
DAGORETTI SOUTH,DAGORETTI,90.0,DAGORETTI (90); MERU SOUTH (85); TESO SOUTH (85),DAGORETTI
DAGORETTI NORTH,DAGORETTI,90.0,DAGORETTI (90); TANA NORTH (85); NORTH HORR (85),DAGORETTI
MUMIAS,MUMIAS EAST,90.0,MUMIAS EAST (90); MUMIAS WEST (90); MUMONI (66),MUMIAS EAST
KAKAMEGA EAST SHINYALU,KAKAMEGA,90.0,KAKAMEGA (90); KAKAMEGA EAST (90); LAMU EAST (85),KAKAMEGA
KAKAMEGA SOUTH IKOLOMANI,KAKAMEGA,90.0,KAKAMEGA (90); KAKAMEGA SOUTH (90); KILIFI SOUTH (85),KAKAMEGA
KAKAMEGA NORTH MALAVA,KAKAMEGA,90.0,KAKAMEGA (90); KAKAMEGA NORTH (90); KILIFI NORTH (85),KAKAMEGA
KIRINYAGA NORTH,KIRINYAGA,90.0,KIRINYAGA (90); TANA NORTH (85); NORTH HORR (85),KIRINYAGA
KIRINYAGA SOUTH,KIRINYAGA,90.0,KIRINYAGA (90); MERU SOUTH (85); TESO SOUTH (85),KIRINYAGA
KURESOI,KURESOI NORTH,90.0,KURESOI NORTH (90); KURESOI SOUTH (90); VOI (72),KURESOI NORTH
KEIYO,KEIYO NORTH,90.0,KEIYO NORTH (90); KEIYO SOUTH (90); KIPKELION (72),KEIYO NORTH
MANYATTA,YATTA,90.0,YATTA (90); MANGA (72); TAITA (67),YATTA
KAKAMEGA CENTRAL LURAMBI,KAKAMEGA,90.0,KAKAMEGA (90); KAKAMEGA CENTRAL (90); MANDERA CENTRAL (85),KAKAMEGA
EMBAKASI CENTRAL,EMBAKASI,90.0,EMBAKASI (90); EMBU (77); KISII CENTRAL (75),EMBAKASI
SUBA,SUBA NORTH,90.0,SUBA NORTH (90); SUBA SOUTH (90); SUBUKIA (77),SUBA NORTH
GATUNDU,GATUNDU NORTH,90.0,GATUNDU NORTH (90); GATUNDU SOUTH (90); MATUNGU (71),GATUNDU NORTH
BUURI,BUURI EAST,90.0,BUURI EAST (90); BUURI WEST (90); BURETI (72),BUURI EAST
MWINGI WEST,MWINGI EAST,90.9090909090909,MWINGI EAST (90); KIENI WEST (76); MBOONI WEST (72),MWINGI EAST
MURANGA WEST,MURANGA EAST,91.66666666666666,MURANGA EAST (91); MURANGA (90); TURKANA WEST (83),MURANGA EAST
MASHURU,MASHUURU,93.33333333333333,MASHUURU (93); NYAHURURU (62); KAHURO (61),MASHUURU
GARBATULA,GARBATULLA,94.73684210526316,GARBATULLA (94); BUTULA (75); MATUGA (65),GARBATULLA
LOITOKTOK,LOITOKITOK,94.73684210526316,LOITOKITOK (94); LOIMA (67); LIKONI (60),LOITOKITOK
NORTH MASABA,MASABA NORTH,95.0,MASABA NORTH (95); MARSABIT NORTH (80); MASABA SOUTH (79),MASABA NORTH
TRANS MARA WEST DIKIRR,TRANS MARA WEST,95.0,TRANS MARA WEST (95); LAMU WEST (85); WAJIR WEST (85),TRANS MARA WEST
NORTH POKOT,POKOT NORTH,95.0,POKOT NORTH (95); POKOT SOUTH (77); KEIYO NORTH (69),POKOT NORTH
SOUTH GUCHA,GUCHA SOUTH,95.0,GUCHA SOUTH (95); GUCHA (90); SUBA SOUTH (72),GUCHA SOUTH
LOYANGALANI,LOIYANGALANI,95.65217391304348,LOIYANGALANI (95); MANGA (72); LARI (67),LOIYANGALANI
KIMILILI BUNGOMA,KIMILILIBUNGOMA,96.7741935483871,KIMILILIBUNGOMA (96); BUNGOMA (90); BUNA (73),KIMILILIBUNGOMA
